Product,Description,Price,Rating,Review,Offer
Lenovo Gaming and Creator Laptop Intel Core i7 12th Gen 12650HX - (12 GB/512 GB SSD/Windows 11 Home/6 ...,Intel Core i7 Processor (12th Gen)12 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹70,990",N/A,N/A,25% off
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen)12 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1Yr Warranty and 1 Yr Accidental Damage Protection,"₹57,990",4.2,"1,319 Ratings & 98 Reviews",27% off
Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 inch) DisplayControl Center1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter,"₹53,990",4.3,513 Ratings & 82 Reviews,46% off
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 H...,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD43.94 cm (17.3 Inch) Display1 Year Onsite Warranty,"₹53,990",4.3,"7,447 Ratings & 585 Reviews",37% off
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹57,990",4.3,"1,929 Ratings & 144 Reviews",27% off
Lenovo Lenovo Legion Pro 7 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Grap...,Intel Core i9 Processor (14th Gen)32 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) DisplayOffice Home & Student 20211 Year Carry-in Warranty,"₹2,70,190",N/A,N/A,35% off
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForce...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,"₹55,990",4.2,210 Ratings & 8 Reviews,25% off
MSI Thin 15 Intel Core i5 12th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,"₹51,999",4.8,4 Ratings & 0 Reviews,29% off
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,"₹48,990",4.3,"7,447 Ratings & 585 Reviews",35% off
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹52,990",4.2,"2,527 Ratings & 203 Reviews",37% off
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home & Student 20211Yr Warranty and 1 Yr Accidental Damage Protection,"₹75,990",4.3,"1,506 Ratings & 131 Reviews",27% off
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹64,990",4.2,87 Ratings & 6 Reviews,16% off
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹59,990",4.4,542 Ratings & 49 Reviews,25% off
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW),"₹60,470",4.4,496 Ratings & 48 Reviews,29% off
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,"₹91,990",4.4,50 Ratings & 5 Reviews,22% off
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD40.64 cm (16 inch) Display1 Year International Travelers Warranty (ITW),"₹64,990",4.5,17 Ratings & 4 Reviews,40% off
DELL G15-5530 Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Basic Onsite Service after remote diagnosis with Hardware-Only Support,"₹1,19,490",N/A,N/A,13% off
Lenovo Legion 7 Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,Intel Core i7 Processor (14th Gen)32 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) DisplayOffice Home & Student 20211 Year Carry-in Warranty,"₹1,80,190",N/A,N/A,28% off
ASUS TUF Gaming A16 Advantage Edition AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home...,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 inch) Display1 Year Onsite Warranty,"₹74,990",4.6,14 Ratings & 2 Reviews,34% off
ASUS ROG Strix G16 with 90WHr Battery Intel HX-Series Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD...,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Onsite Warranty,"₹1,15,990",4.4,73 Ratings & 6 Reviews,19% off
